#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.452674
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-MATE-GAPS

>mateGap	frequency
342	0.00358758
343	0.00354666
344	0.00357605
345	0.00357581
346	0.00360835
347	0.00359314
348	0.00354419
349	0.00346255
350	0.00334472
351	0.00322892
352	0.00316645
353	0.003134
354	0.00312821
355	0.00312973
356	0.00316364
357	0.00314716
358	0.00311571
359	0.00305995
360	0.00297215
361	0.00288045
362	0.00280098
363	0.00276722
364	0.00272808
365	0.00272603
366	0.00276355
367	0.00275315
368	0.00273431
369	0.00268428
370	0.00262424
371	0.00253232
372	0.00248049
373	0.00242836
374	0.00239496
375	0.00237392
376	0.0023769
377	0.00237722
378	0.0023676
379	0.0023403
380	0.0022925
381	0.00223876
382	0.00218134
383	0.00212015
384	0.00209735
385	0.00205536
386	0.00205899
387	0.00204298
388	0.00204908
389	0.00203819
390	0.001989
391	0.00194893
392	0.00188807
393	0.00186604
394	0.00181448
395	0.00178877
396	0.00178225
397	0.00176511
398	0.00175925
399	0.00174893
400	0.00172085
401	0.00168699
402	0.00165256
403	0.00160371
404	0.0015768
405	0.0015583
406	0.00152617
407	0.00153398
408	0.00152338
409	0.00150764
410	0.00148349
411	0.00146239
412	0.00142433
413	0.00139804
414	0.00136435
415	0.00134013
416	0.00131664
417	0.00130377
418	0.00129906
419	0.00128483
420	0.0012775
421	0.0012514
422	0.001237
423	0.00119652
424	0.00117684
425	0.00115555
426	0.00113487
427	0.00112777
428	0.00111217
429	0.001098
430	0.00108699
431	0.00106439
432	0.00105376
433	0.00102505
434	0.00101199
435	0.000997806
436	0.000983353
437	0.000957278
438	0.00094634
439	0.000943777
440	0.000926051
441	0.0009209
442	0.000901515
443	0.000880518
444	0.00086792
445	0.000851049
446	0.000839477
447	0.000825072
448	0.000806785
449	0.000791917
450	0.000781931
451	0.000784177
452	0.000764304
453	0.000763132
454	0.000743038
455	0.000721798
456	0.000705122
457	0.000690571
458	0.000684199
459	0.000674067
460	0.000661298
461	0.000657636
462	0.000646014
463	0.000631756
464	0.000622918
465	0.000608709
466	0.000600115
467	0.000595256
468	0.000572208
469	0.000563883
470	0.000566202
471	0.00055546
472	0.000550186
473	0.000534829
474	0.000529922
475	0.000514712
476	0.000506533
477	0.000492494
478	0.000490566
479	0.000474159
480	0.000475868
481	0.000457069
482	0.000458655
483	0.000449549
484	0.000443909
485	0.000426574
486	0.00042052
487	0.000414221
488	0.000410803
489	0.000399718
490	0.000390026
491	0.000384752
492	0.000379356
493	0.000380186
494	0.000367515
495	0.000360655
496	0.000355869
497	0.00034647
498	0.000334824
499	0.00033121
500	0.000327524
501	0.000324985
502	0.00031661
503	0.0003139
504	0.000301766
505	0.000304232
506	0.000292733
507	0.000286361
508	0.000278157
509	0.00027552
510	0.000276131
511	0.000267293
512	0.000260481
513	0.000254621
514	0.000253962
515	0.000248127
516	0.000242414
517	0.000236994
518	0.000229889
519	0.000223273
520	0.000223834
521	0.000212042
522	0.000212262
523	0.000211139
524	0.000205987
525	0.000197051
526	0.000195562
527	0.000194512
528	0.000189117
529	0.000184746
530	0.000182036
531	0.000178838
532	0.000177007
533	0.000172856
534	0.000170415
535	0.000165044
536	0.000162212
537	0.000159013
538	0.000152592
539	0.000156108
540	0.000148735
541	0.000145268
542	0.000136527
543	0.00014141
544	0.000137895
545	0.000137626
546	0.000133207
547	0.000130057
548	0.000122196
549	0.000123294
550	0.000121488
551	0.000116263
552	0.000116703
553	0.000113773
554	0.000111014
555	0.00010845
556	0.000105472
557	0.000102102
558	0.000103103
559	9.56326e-05
560	9.70486e-05
561	9.30934e-05
562	9.60965e-05
563	9.09694e-05
564	9.23122e-05
565	8.84302e-05
566	8.4353e-05
567	8.38158e-05
568	8.24974e-05
569	8.07152e-05
570	7.82249e-05
571	7.83469e-05
572	7.32687e-05
573	7.09248e-05
574	7.02412e-05
575	6.80683e-05
576	7.06807e-05
577	6.75312e-05
578	6.50653e-05
579	6.50653e-05
580	6.08416e-05
581	5.76188e-05
582	5.74479e-05
583	5.81803e-05
584	5.81071e-05
585	5.39566e-05
586	5.53727e-05
587	5.4567e-05
588	5.06606e-05
589	5.20278e-05
590	5.1393e-05
591	4.85609e-05
592	4.77308e-05
593	4.35803e-05
594	4.48499e-05
595	4.4386e-05
596	4.28967e-05
597	4.48987e-05
598	4.17004e-05
599	4.01378e-05
600	4.06506e-05
601	3.92345e-05
602	3.80382e-05
603	3.81603e-05
604	3.49619e-05
605	3.44004e-05
606	3.43516e-05
607	3.35703e-05
608	3.32529e-05
609	3.11532e-05
610	3.09823e-05
611	3.00057e-05
612	2.92e-05
613	3.06893e-05
614	2.82967e-05
615	2.76375e-05
616	2.73689e-05
617	2.57576e-05
618	2.65632e-05
619	2.5196e-05
620	2.50739e-05
621	2.27301e-05
622	2.40974e-05
623	2.40729e-05
624	2.34626e-05
625	2.20221e-05
626	2.14606e-05
627	2.00445e-05
628	2.00933e-05
629	1.97515e-05
630	2.00201e-05
631	1.75054e-05
632	1.82622e-05
633	1.85796e-05
634	1.74565e-05
635	1.69683e-05
636	1.7188e-05
637	1.59428e-05
638	1.54057e-05
639	1.59672e-05
640	1.54057e-05
641	1.50395e-05
642	1.33549e-05
643	1.42582e-05
644	1.45024e-05
645	1.39652e-05
646	1.28177e-05
647	1.33305e-05
648	1.17435e-05
649	1.14505e-05
650	1.28666e-05
651	1.19388e-05
652	1.07181e-05
653	1.10843e-05
654	1.03274e-05
655	1.14017e-05
656	1.12552e-05
657	1.04251e-05
658	1.03274e-05
659	8.76489e-06
660	8.59399e-06
661	8.91138e-06
662	8.03245e-06
663	9.7659e-06
664	9.00904e-06
665	8.32543e-06
666	8.86255e-06
667	7.81272e-06
668	7.74343e-06
669	7.51974e-06
670	7.71506e-06
671	7.08586e-06
672	6.96309e-06
673	6.85659e-06
674	6.75358e-06
675	6.76149e-06
676	6.76916e-06
677	6.64872e-06
678	6.60593e-06
679	6.46572e-06
680	6.13089e-06
681	5.76281e-06
682	5.53913e-06
683	5.28451e-06
684	5.1836e-06
685	5.00619e-06
686	4.93899e-06
687	4.79947e-06
688	4.79808e-06
689	4.71391e-06
690	4.64183e-06
691	4.52789e-06
692	4.61206e-06
693	4.45255e-06
694	4.37512e-06
695	4.3449e-06
696	4.14702e-06
697	4.07517e-06
698	3.84916e-06
699	3.78266e-06
700	3.54107e-06
701	3.55455e-06
702	3.60222e-06
703	3.52665e-06
704	3.49154e-06
705	3.45364e-06
706	3.36621e-06
707	3.17275e-06
708	2.94814e-06
709	2.86443e-06
710	2.79909e-06
711	2.64354e-06
712	2.62052e-06
713	2.54913e-06
714	2.491e-06
715	2.46938e-06
716	2.37869e-06
717	2.38916e-06
718	2.3473e-06
719	2.39962e-06
720	2.44357e-06
721	2.46008e-06
722	2.33684e-06
723	2.38218e-06
724	2.35428e-06
725	2.29499e-06
726	2.19733e-06
727	2.16245e-06
728	2.13455e-06
729	2.04386e-06
730	1.93923e-06
731	1.87819e-06
732	1.8436e-06
733	1.77995e-06
734	1.69818e-06
735	1.61951e-06
736	1.58967e-06
737	1.55722e-06
738	1.53428e-06
739	1.49329e-06
740	1.46622e-06
741	1.44713e-06
742	1.40718e-06
743	1.36945e-06
744	1.3761e-06
745	1.34059e-06
746	1.3073e-06
747	1.30952e-06
748	1.30286e-06
749	1.27623e-06
750	1.22418e-06
751	1.17589e-06
752	1.17282e-06
753	1.15791e-06
754	1.14186e-06
755	1.11433e-06
756	1.07403e-06
757	1.06373e-06
758	1.04871e-06
759	9.99261e-07
760	9.66968e-07
761	9.3232e-07
762	9.04602e-07
763	8.9419e-07
764	8.99899e-07
765	8.91785e-07
766	8.60261e-07
767	8.1574e-07
768	7.94197e-07
769	7.94197e-07
770	7.74091e-07
771	7.55421e-07
772	7.52549e-07
773	7.24203e-07
774	7.09892e-07
775	6.83109e-07
776	6.75844e-07
777	6.73182e-07
778	6.58669e-07
779	6.56494e-07
780	6.29946e-07
781	5.99434e-07
782	5.76228e-07
783	5.87961e-07
784	5.84241e-07
785	5.83955e-07
786	5.7113e-07
787	5.69526e-07
788	5.41761e-07
789	5.46111e-07
790	5.29574e-07
791	5.34832e-07
792	5.24988e-07
793	5.12626e-07
794	5.05176e-07
795	5.01691e-07
796	4.98936e-07
797	4.88387e-07
798	4.84289e-07
799	4.84952e-07
800	4.76167e-07
801	4.55675e-07
802	4.47209e-07
803	4.28598e-07
804	4.22416e-07
805	4.05376e-07
806	3.91526e-07
807	3.77492e-07
808	3.75384e-07
809	3.60552e-07
810	3.42403e-07
811	3.43847e-07
812	3.37204e-07
813	3.16132e-07
814	3.06877e-07
815	3.08792e-07
816	3.10253e-07
